w,lambda,mae_vs_infty
25,8,0.11527896841689696
25,16,0.0852811148835373
25,32,0.06370605625740229
25,64,0.04774037722068693
50,8,0.1136601178444532
50,16,0.07463378444532175
50,32,0.052166727595736276
50,64,0.03813967508882748
